bigram	score	is-math-concept	sentence
national security	57.92	0	"# sent_id = weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0026 # text = But then, even to talk of an ""administration"" may be misdirection at this point, given how little representative government means in the United States these days, and how much of ""national security"" has been privatized into a global gangland of drugs and guns. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51"
web site	57.92	0	# sent_id = email-enronsent17_01-0069 # newpar id = email-enronsent17_01-p0030 # text = How about a pre-meeting web site cruise on Friday, July 7 at 11AM EDT? 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
audit right	57.92	0	# sent_id = email-enronsent24_01-0006 # text = I know that we address audit rights in the LLC agreement so this may not matter anyway if this is a right they already have. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
polar bear	57.92	0	# sent_id = newsgroup-groups.google.com_alt.animals.bear_395d998336aec581_ENG_20031225_105300-0003 # text = A Quebec man was awarded a Carnegie Medal for bravery on Monday for saving two friends by fighting off a polar bear with a pocket knife two years ago on Baffin Island 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
global warming	57.92	0	# sent_id = newsgroup-groups.google.com_alt.animals_0e65f540816d780c_ENG_20041116_124800-0007 # text = It turns out one of the surest barometers of the warming climate is the response of the non-human natural world to changing conditions, and biologists who study the responses have been aware for some years the biosphere is acknowledging global warming. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43
guinea pig	57.92	0	# sent_id = answers-20111108102428AAMzXRG_ans-0002 # newpar id = answers-20111108102428AAMzXRG_ans-p0002 # text = a degu, a rat, a mouse, a hamster or a guinea pig? 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
great service	57.92	0	# sent_id = reviews-063690-0003 # text = its great to know you can get great service, great product, and for the best price all in one! 1-2 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
currency amount	56.35	0	
laser sight	52.44	0	# sent_id = answers-20111108090913AAf83Jh_ans-0008 # text = Know that there are pros and cons to laser sights before you mount them on your wang. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
good time	51.5	0	# sent_id = weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0076 # text = He went out in the evenings and had a good time. 1 2 3 4 5 6 7 8 9 10 11 12
more info	51.5	0	# sent_id = weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0092 # text = look up fumarase deficiency for more info. 1 2 3 4 5 6 7 8
inner circle	51.5	0	# sent_id = weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0140 # text = In the inner circle are the terrorists themselves. 1 2 3 4 5 6 7 8 9
international law	51.5	0	# sent_id = weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0161 # text = The civilized world believes in democracy, the rule of law, including international law, human rights, free speech and free press, among other liberties. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
development agreement	51.5	0	# sent_id = email-enronsent25_01-0099 # newpar id = email-enronsent25_01-p0025 # text = I'm forwarding a revised development agreement term sheet, showing revisions from your original version. 1-2 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
master agreement	51.5	0	
phone call	51.5	0	# sent_id = email-enronsent39_01-0057 # text = Those who show up and complain, but are not participating in the working groups and the daily Ercot phone calls, board meetings, etc. are ignored. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
service date	51.5	0	# sent_id = email-enronsent43_01-0019 # text = Our in-service date is May 1. 1 2 3 4 5 6 7 8 9
bad faith	51.5	0	# sent_id = email-enronsent33_01-0034 # newpar id = email-enronsent33_01-p0011 # text = In the three years I have been here, I am unaware of an ENA/ECT bad faith claim against any insurance company. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
civet cat	51.5	0	# sent_id = newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0030 # text = I'm not sure if any of you know much about civet cats, but to brief those who might not know, I will quote James Rachels, author of World Hunger and Moral Obligation among many other animal rights-related books and articles. 1-2 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
good bet	51.5	0	
dwarf hamster	51.5	0	# sent_id = answers-20111108093211AA8bYFE_ans-0008 # newpar id = answers-20111108093211AA8bYFE_ans-p0005 # text = I have a dwarf hamster who HATES his wheel and doesn't use it - 1 2 3 4 5 6 7 8 9 10 11-12 11 12 13 14 15
good service	51.5	0	# sent_id = answers-20111031103114AA61BW3_ans-0004 # text = I want to take him somewhere where there's going to be awesome burgers/american food, atmosphere (preferably a tavern/pub style would be nice), good service, and all around a great time. =) 1 2 3 4 5 6 7 8-9 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42
good price	51.5	0	# sent_id = answers-20111108090524AAofoXT_ans-0005 # text = If they ask how much I'm willing to pay, what is a good price range? 1 2 3 4 5 6-7 6 7 8 9 10 11 12 13 14 15 16 17 18
cruise line	51.5	0	# sent_id = answers-20111108083754AAEw5Xc_ans-0011 # text = (Two people in a cabin will spend more onboard, so cruise lines charge you more to sail alone. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
birth certificate	51.5	0	# newdoc id = answers-20111108092321AAK0Eqp_ans # sent_id = answers-20111108092321AAK0Eqp_ans-0001 # newpar id = answers-20111108092321AAK0Eqp_ans-p0001 # text = what r the requirements to apply for a delay birth certificate in canada? 1 2 3 4 5 6 7 8 9 10 11 12 13 14
bad experience	51.5	0	# sent_id = reviews-346627-0002 # newpar id = reviews-346627-p0002 # text = We have never had a bad experience buying from Edmark. 1 2 3 4 5 6 7 8 9 10 11
deal number	46.97	0	# sent_id = email-enronsent42_01-0003 # newpar id = email-enronsent42_01-p0003 # text = the deal number is 814014-why can't you see this? 1 2 3 4 5 6 7 8-9 8 9 10 11 12 13
religious leader	45.87	0	# sent_id = weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0077 # text = No son of an Arab politician or religious leader has ever blown himself up. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
operating standard	45.87	0	# sent_id = email-enronsent01_02-0004 # text = Off and on ( with Jackie Gentle's help ) I have pulled together a one page communication note on our fundamental operating standards ( itself a one page summary ). 1 2 3 4 5 6 7-8 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
little one	44.95	0	# sent_id = weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0060 # text = S. and I have an acquaintance who has hosted several of these children for many years; to see these little ones breaks the heart. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
good news	44.95	0	"# sent_id = weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0019 # text = It appears this guy is going to bring stability to the country and I think that's good news for the subcontinent."" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16-17 16 17 18 19 20 21 22 23 24"
indian army	44.95	0	
good option	44.95	0	# sent_id = answers-20111108065616AAKtL2c_ans-0029 # text = There are many good options of delicious food on the shores as well. 1 2 3 4 5 6 7 8 9 10 11 12 13 14
top notch	44.95	0	# sent_id = weblog-blogspot.com_alaindewitt_20040929103700_ENG_20040929_103700-0063 # text = A 1970 evaluation said Bush “clearly stands out as a top notch fighter interceptor pilot” and was “a natural leader whom his contemporaries look to for leadership.” 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
heavy metal	44.95	0	"# sent_id = weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0134 # newpar id = weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-p0031 # text = ""Another generation of heavy metal has taken over, and -- sorry -- it ain't just about strippers and dope. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16-17 16 17 18 19 20 21 22 23"
suicide murderer	44.95	0	# sent_id = weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0052 # text = More people die from AIDS in one day in Africa than all the Russians who died in the hands of Chechnya-based Moslem suicide murderers since that conflict started. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
second wave	44.95	0	"# sent_id = weblog-blogspot.com_dakbangla_20050311135387_ENG_20050311_135387-0014 # text = On August 9, 2004, it was announced that in the Spring of 2001, a man named El-Shukrijumah, also known as Jafar the Pilot, who was part of a ""second wave,"" had been casing New York City helicopters. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48"
epc contract	44.95	0	
new one	44.95	0	# sent_id = email-enronsent08_02-0038 # text = All the guys at work are saying I shouldn't bother having it fixed I should just buy a new one. 1 2 3 4 5 6 7 8 9-10 9 10 11 12 13 14 15 16 17 18 19 20 21 22
month end	44.95	0	# sent_id = email-enronsent44_01-0002 # newpar id = email-enronsent44_01-p0002 # text = I just got of the phone with Hai and he told me how to make an adjustment on a day to day basis in regards to incorrect liquidations but he also explained this is just to make the daily P&L #'s right, if nothing were done the month end P&L would still somehow work out because adjustments would be made. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62
balance sheet	44.95	0	# sent_id = email-enronsent02_01-0010 # text = The intention of the efforts and actions documented in my earlier update ( see attached email ) was to provide a robust position signoff process for total metal tonnage, spread and brand and location a timely substantiation of stock on balance sheet forward MTM debtors and creditor balances OBSF transactional values and a reconciliation of the barclays intercompany account 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60
next time	44.95	0	# sent_id = email-enronsent10_01-0092 # text = Stan may also bring the letter up orally next time he's on the phonne with Gibson or Kyle as an example of how not to handle this situation. 1 2 3 4 5 6 7 8 9 10 11-12 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
global counterparty	44.95	0	
good food	44.95	0	# newdoc id = reviews-164937 # sent_id = reviews-164937-0001 # newpar id = reviews-164937-p0001 # text = Super nice people, really good food 1 2 3 4 5 6 7
king snake	44.95	0	# newdoc id = answers-20111108105629AAiZUDY_ans # sent_id = answers-20111108105629AAiZUDY_ans-0001 # newpar id = answers-20111108105629AAiZUDY_ans-p0001 # text = why does my baby king snake refuse to eat? 1 2 3 4 5 6 7 8 9 10
excellent service	44.95	0	# sent_id = reviews-059005-0002 # newpar id = reviews-059005-p0002 # text = Excellent bagels and excellent service! 1 2 3 4 5 6
front desk	44.95	0	# sent_id = reviews-023620-0004 # text = Bad service starting from the front desk. 1 2 3 4 5 6 7 8
executive order	40.25	0	
payment date	40.25	0	
full name	39.14	0	# sent_id = weblog-blogspot.com_dakbangla_20050311135387_ENG_20050311_135387-0209 # text = The sender probably is announcing that he is of either Egyptian Islamic Jihad, Egyptian Islamic Group or Jihad-al Qaeda, which is actually the full name of the group after the merger of the Egyptian Islamic Jihad and al Qaeda. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44
base currency	39.14	0	
long form	39.14	0	# sent_id = email-enronsent37_01-0065 # newpar id = email-enronsent37_01-p0009 # text = is it possible to combine the standard isda and our confirm into a single long form? 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
space program	39.14	0	"# sent_id = newsgroup-groups.google.com_FOOLED_7554c5ce34a5a49e_ENG_20051012_144800-0003 # text = Country has an Independent strategy = NASA & company to use ""Numero Uno"" strategy, try to assert, beat, mesh and control the space program of the country. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33"
dining room	39.14	0	# sent_id = answers-20111107155912AAS93e5_ans-0024 # text = Dining Room We enjoyed the atmosphere of both dining rooms on the Liberty and Mariner of the Seas. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
american force	38.23	0	
few week	38.23	0	# sent_id = weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0058 # text = One of them is the Rest and Recuperation Program, wherein a child can come to the US for a few weeks in the summer. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
arab world	38.23	0	
nuclear weapon	38.23	0	"# sent_id = weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0022 # text = ""Further, I find it even more disturbing that he made these comments about a nation that just last year tested nuclear weapons -- shortly after voicing his public opposition to the Comprehensive Test Ban Treaty. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38"
peace process	38.23	0	"# sent_id = weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0039 # text = This is what Edwards' campaign literature said about his positions: ""Edwards believes that the U.S. must be an active leader to help resolve conflicts, from reducing tensions between India and Pakistan to the peace process in Northern Ireland. 1 2 3 4-5 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43"
weapon program	38.23	0	
first year	38.23	0	# sent_id = weblog-blogspot.com_alaindewitt_20040929103700_ENG_20040929_103700-0039 # text = According to records released earlier this year, Bush earned 253 points in his first year, May 1968 to May 1969 (since he joined in May 1968, his service thereafter was measured on a May-to-May basis). 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45
press conference	38.23	0	# sent_id = weblog-blogspot.com_healingiraq_20050121235804_ENG_20050121_235804-0008 # text = One minister reportedly handed out 100 dollar 'gifts' to journalists attending a press conference for Allawi, a practice that brings back bad memories to many Iraqis. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
few year	38.23	0	# sent_id = weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0015 # newpar id = weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-p0004 # text = Security problems in the Andaman Sea are not new, but they have deteriorated during the past few years, in tandem with a deterioration in the security situation in Bangladesh, Nepal and Bhutan, and particularly in the northeastern Indian states of Manipur, Nagaland and Tripura. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
pakistani official	38.23	0	
last month	38.23	0	# sent_id = weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002-0063 # text = The enhanced US presence in western Afghanistan was only made possible after the ousting of Ismail Khan, the warlord and Governor of Herat province last month, who was a close ally of Iranian hardliners. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37
young man	38.23	0	# sent_id = weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0044 # text = Ask her about the handsome young man from Texas, and she remembers him 32 years later like it was yesterday. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
train station	38.23	0	# sent_id = weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0068 # text = Put a metal detector in front of every train station in Spain and the terrorists will get the buses. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
civilized world	38.23	0	# sent_id = weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0161 # text = The civilized world believes in democracy, the rule of law, including international law, human rights, free speech and free press, among other liberties. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
western media	38.23	0	
homeland security	38.23	0	# sent_id = newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0109 # newpar id = newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-p0026 # text = $3.29- Average amount allocated per person Nationwide in the first round of homeland security grants. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
anthrax mailing	38.23	0	# sent_id = weblog-blogspot.com_dakbangla_20050311135387_ENG_20050311_135387-0017 # text = The CIA reportedly has been quietly building a case that the anthrax mailings were an international plot. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
letter bomb	38.23	0	# sent_id = weblog-blogspot.com_dakbangla_20050311135387_ENG_20050311_135387-0023 # text = The letter bombs were sent in connection with the detention of the blind sheik Abdel Rahman and those responsible for the earlier World Trade Center bombing in 1993. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
voice mail	38.23	0	# sent_id = email-enronsent19_01-0053 # newpar id = email-enronsent19_01-p0025 # text = As I mentioned in my voice mail, Mike Roberts going to hire Sara Woody, a recent MBA grad from Rice, into his group. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
great time	38.23	0	# sent_id = email-enronsent26_01-0006 # text = We stayed at the Menger and had a great time. 1 2 3 4 5 6 7 8 9 10 11
confidentiality agreement	38.23	0	# sent_id = email-enronsent26_01-0028 # text = I'm looking for the confidentiality agreement, which may be in Bart's files (haven't checked closely yet). 1-2 1 2 3 4 5 6 7 8 9 10 11 12 13-14 13 14 15 16 17-18 17 18 19 20 21 22 23
additional language	38.23	0	# sent_id = email-enronsent24_01-0004 # text = Can you please review this additional language to the risk management policy ( or circulate to Jeff Hodge)? 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
risk policy	38.23	0	# sent_id = email-enronsent24_01-0012 # text = Attached please find the latest enovate risk policy. 1 2 3 4 5 6 7 8 9
password application	38.23	0	
executive director	38.23	0	# sent_id = email-enronsent07_01-0074 # text = Jan Smutney-Jones, who was the ISO board chairman at the time and executive director of a group that represents power generators, said Winter did not consult him about eliminating the price cap. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37
human being	38.23	0	# sent_id = newsgroup-groups.google.com_herpesnation_c74170a0fcfdc880_ENG_20051125_075200-0004 # text = One of my most cherished dualities is the understanding that we are both autonomous individuals with the power to shape our personal destinies and at the same time we are all one, that there is no separation between you and I, we are all together in this thing called life, we human beings, the birds and the tress, the rocks and the sky, all of it. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
much money	38.23	0	# sent_id = newsgroup-groups.google.com_FOOLED_1bf9cdc5a4c2ac48_ENG_20050904_130400-0012 # newpar id = newsgroup-groups.google.com_FOOLED_1bf9cdc5a4c2ac48_ENG_20050904_130400-p0002 # text = How much money does the USA give NASA per year? 1 2 3 4 5 6 7 8 9 10 11
climate change	38.23	0	"# sent_id = newsgroup-groups.google.com_alt.animals_0e65f540816d780c_ENG_20041116_124800-0019 # text = ""Half of the studies provide strong evidence of a causal link between the biological change and climate change,"" said Camille Parmesan, a University of Texas-Austin biologist and one of the world's leading experts on this issue. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37-38 37 38 39 40 41 42 43 44"
union address	38.23	0	
young adult	38.23	0	# sent_id = newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0217 # text = 85 - Percentage of American young adults who cannot find Afghanistan, Iraq, or Israel on a map. 1 2 3 4 5 6 7 8 9-10 9 10 11 12 13 14 15 16 17 18 19 20 21
pet store	38.23	0	"# sent_id = answers-20111108100918AATaSIx_ans-0008 # text = Look in the pet stores for ""fry food"" or ""baby fish foods"". 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17"
bearded dragon	38.23	0	# newdoc id = answers-20111108102621AA3hPqj_ans # sent_id = answers-20111108102621AA3hPqj_ans-0001 # newpar id = answers-20111108102621AA3hPqj_ans-p0001 # text = bearded dragon spikes? 1 2 3 4
favorite place	38.23	0	# sent_id = answers-20111108084416AAoPgBv_ans-0019 # text = I used to live in London for 6 months and it's by far one of my favorite places to be in the world (I've been to 45 countries in 5 years). 1 2 3 4 5 6 7 8 9 10 11-12 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26-27 26 27 28 29 30 31 32 33 34 35 36
good experience	38.23	0	# newdoc id = reviews-030811 # sent_id = reviews-030811-0001 # newpar id = reviews-030811-p0001 # text = I've only had good experiences at Adorn, I was greeted and offered a refreshment. 1-2 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
year old	38.23	0	"# sent_id = weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0126 # text = A demonstration in Berlin, carrying banners supporting Saddam's regime and featuring three-year old babies dressed as suicide murderers, is defined by the press and by political leaders as a ""peace demonstration"". 1 2 3 4 5 6 7 8 9-10 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39"
good job	38.23	0	# sent_id = reviews-055207-0005 # text = You'd think they would do a good job but they don't care unless they are getting paid full price. 1-2 1 2 3 4 5 6 7 8 9 10 11 12-13 12 13 14 15 16 17 18 19 20 21 22
credit card	38.23	0	# sent_id = reviews-094189-0005 # text = They have a credit card minimum. 1 2 3 4 5 6 7
